latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-15.441,130.5098,345.3,1.8,1.3,2019-08-01,0524,Aqua,MODIS,91,6.3,314.1,84.8,D,0
-16.1643,126.004,331,1,1,2019-08-01,0524,Aqua,MODIS,67,6.3,311.3,15.8,D,0
-15.4292,130.5077,332.8,1.8,1.3,2019-08-01,0524,Aqua,MODIS,79,6.3,311.7,36.5,D,0
-15.4435,130.5206,331.5,1.8,1.3,2019-08-01,0524,Aqua,MODIS,65,6.3,313.5,32.8,D,0
-15.4317,130.5184,357.6,1.8,1.3,2019-08-01,0524,Aqua,MODIS,98,6.3,312,152.4,D,0
-15.4345,130.5017,328.6,1.8,1.3,2019-08-01,0524,Aqua,MODIS,53,6.3,312.9,23.8,D,0
-15.3797,130.7558,331.9,1.9,1.3,2019-08-01,0524,Aqua,MODIS,57,6.3,311.5,37.8,D,0
-15.4227,130.4995,345.3,1.8,1.3,2019-08-01,0524,Aqua,MODIS,91,6.3,311.2,83.2,D,0
-15.4109,130.4973,353.2,1.8,1.3,2019-08-01,0524,Aqua,MODIS,96,6.3,310.5,123.9,D,0
-15.4137,130.4806,345.1,1.8,1.3,2019-08-01,0524,Aqua,MODIS,91,6.3,311.2,83,D,0
-15.3556,130.7514,327.1,1.9,1.3,2019-08-01,0524,Aqua,MODIS,53,6.3,311.6,24.3,D,0
-15.4019,130.4785,328.7,1.8,1.3,2019-08-01,0524,Aqua,MODIS,74,6.3,309.2,28.3,D,0
-15.4047,130.4618,325.2,1.8,1.3,2019-08-01,0524,Aqua,MODIS,53,6.3,308.9,20.9,D,0
-15.393,130.4597,328.9,1.8,1.3,2019-08-01,0524,Aqua,MODIS,61,6.3,307.6,30.9,D,0
-16.09,126.005,327.9,1,1,2019-08-01,0524,Aqua,MODIS,65,6.3,310.5,12.4,D,0
-16.0914,125.9955,337.3,1,1,2019-08-01,0524,Aqua,MODIS,83,6.3,312.9,25.2,D,0
-15.2073,131.3123,322.7,2.1,1.4,2019-08-01,0524,Aqua,MODIS,64,6.3,309.8,23.4,D,0
-16.0831,125.9264,323.7,1,1,2019-08-01,0524,Aqua,MODIS,47,6.3,311.5,7.1,D,0
-16.0845,125.9169,341.2,1,1,2019-08-01,0524,Aqua,MODIS,87,6.3,313.6,31.5,D,0
-16.0859,125.9075,333.1,1,1,2019-08-01,0524,Aqua,MODIS,79,6.3,311.6,19.2,D,0
-16.0873,125.8981,324,1,1,2019-08-01,0524,Aqua,MODIS,59,6.3,310.5,8.6,D,0
